column,approx_unique
ASV_sequence,291270
ASV,29979
Species_In_LCA,8168
sample,4504
tube_id,3322
LCA,2757
species,2133
Species.prediction,1944
genus,1125
Genus.prediction,975
eventDate,881
site_id,752
verbatimEventTime,561
sampling_comments,364
verbatimEventDate,350
family,344
tot_depth_water_col,236
date_ext,94
site_comments,92
order,81
digestion_date,65
Location_Year,30
biological_rep,21
digestion_comments,21
geo_loc_name,20
samp_collect_device,19
Year,16
Location,12
filter_device,11
Voyage,11
tidal_stage,9
extraction_personnel,9
extraction_comments,9
class,6
Assay,6
digestion_personnel,5
Sources,4
Gene,3
filter_material,3
nucl_acid_ext_sep,3
assay_name,3
neg_cont_type,2
verbatimCoordinateSystem,2
env_local_scale,2
samp_size_unit,2
samp_mat_process,2
nucl_acid_ext_lysis,2
extraction_method,2
deeporcore,2
domain,1
phylum,1
samp_category,1
env_broad_scale,1
env_medium,1
samp_collect_method,1
samp_store_sol,1
samp_store_loc,1
dna_store_loc,1
filter_name,1
prepped_samp_store_sol,1
nucl_acid_ext_kit,1
use_for_filter,1
pos_cont_type,0
materialSampleID,0
sample_derived_from,0
sample_composed_of,0
rel_cont_id,0
biological_rep_relation,0
verbatimSRS,0
eventDurationValue,0
samp_store_dur,0
samp_store_method_additional,0
stationed_sample_dur,0
pump_flow_rate,0
pump_flow_rate_unit,0
prefilter_material,0
size_frac_low,0
precip_chem_prep,0
precip_force_prep,0
precip_time_prep,0
precip_temp_prep,0
prepped_samp_store_dur,0
prep_method_additional,0
samp_vol_we_dna_ext,0
samp_vol_we_dna_ext_unit,0
nucl_acid_ext,0
nucl_acid_ext_modify,0
dna_cleanup_method,0
concentration,0
concentration_unit,0
concentration_method,0
ratioOfAbsorbance260_280,0
pool_dna_num,0
nucl_acid_ext_method_additional,0
samp_weather,0
elev,0
chlorophyll,0
light_intensity,0
ph,0
ph_meth,0
salinity,0
suspend_part_matter,0
turbidity,0
water_current,0
solar_irradiance,0
wind_direction,0
diss_inorg_carb,0
diss_inorg_carb_unit,0
diss_inorg_nitro,0
diss_inorg_nitro_unit,0
diss_org_carb,0
diss_org_carb_unit,0
diss_org_nitro,0
diss_org_nitro_unit,0
diss_oxygen,0
diss_oxygen_unit,0
tot_diss_nitro,0
tot_diss_nitro_unit,0
tot_inorg_nitro,0
tot_inorg_nitro_unit,0
tot_nitro,0
tot_nitro_unit,0
tot_part_carb,0
tot_part_carb_unit,0
tot_org_carb,0
tot_org_carb_unit,0
tot_org_c_meth,0
tot_nitro_content,0
tot_nitro_content_unit,0
tot_nitro_cont_meth,0
tot_carb,0
tot_carb_unit,0
part_org_carb,0
part_org_carb_unit,0
part_org_nitro,0
part_org_nitro_unit,0
nitrate,0
nitrate_unit,0
nitrite,0
nitrite_unit,0
nitro,0
nitro_unit,0
org_carb,0
org_carb_unit,0
org_matter,0
org_matter_unit,0
org_nitro,0
org_nitro_unit,0
